year,top_pop
2000,"[[227, 156770, 'FLCL'], [249, 134539, 'Inuyasha'], [263, 97952, 'Hajime no Ippo: THE FIGHTING!'], [481, 66225, 'YuGiOh! Duel Monsters'], [1281, 54922, 'Gakkou no Kaidan']]"
2001,"[[199, 358197, 'Sen to Chihiro no Kamikakushi'], [270, 103382, 'HELLSING'], [120, 79204, 'Fruits Basket'], [5, 65563, 'Cowboy Bebop: Tengoku no Tobira'], [154, 48403, 'Shaman King']]"
2002,"[[20, 540921, 'NARUTO'], [71, 72593, 'Full Metal Panic!'], [66, 71924, 'Azumanga Daiou THE ANIMATION'], [387, 68994, 'Haibane Renmei'], [59, 68763, 'Chobits']]"
2003,"[[121, 201471, 'Hagane no Renkinjutsushi'], [486, 70378, 'Kino no Tabi: the Beautiful World'], [759, 67025, 'Tokyo Godfathers'], [26, 60750, 'TEXHNOLYZE'], [329, 48706, 'Planetes']]"
2004,"[[269, 348014, 'BLEACH'], [431, 262205, 'Howl no Ugoku Shiro'], [19, 229649, 'MONSTER'], [205, 209316, 'Samurai Champloo'], [226, 208744, 'Elfen Lied']]"
2005,"[[457, 146620, 'Mushishi'], [355, 78581, 'Shakugan no Shana'], [237, 69640, 'Koukyoushihen Eureka Seven'], [228, 60791, 'Jigoku Shoujo'], [150, 48426, 'BLOOD+']]"
2006,"[[1535, 708046, 'DEATH NOTE'], [1575, 362119, 'Code Geass: Hangyaku no Lelouch'], [918, 224163, 'Gintama'], [853, 197986, 'Ouran Koukou Host Club'], [889, 182144, 'BLACK LAGOON']]"
2007,"[[1735, 460807, 'NARUTO: Shippuuden'], [2001, 276081, 'Tengen Toppa Gurren Lagann'], [2167, 229188, 'CLANNAD'], [1689, 193562, 'Byousoku 5 Centimeter'], [2251, 153955, 'Baccano!']]"
2008,"[[4224, 420849, 'Toradora!'], [3588, 283128, 'Soul Eater'], [2904, 274785, 'Code Geass: Hangyaku no Lelouch R2'], [4898, 201134, 'Kuroshitsuji'], [4181, 177655, 'CLANNAD: After Story']]"
2009,"[[5114, 543153, 'Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST'], [6702, 290391, 'FAIRY TAIL'], [5081, 266444, 'Bakemonogatari'], [5680, 215792, 'K-ON!'], [6045, 172860, 'Kimi ni Todoke']]"
