year,top_score,top_pop
2000,"[[263, 8.77, 601186, 'https://cdn.myanimelist.net/images/anime/4/86334.jpg', 'Hajime no Ippo'], [372, 8.21, 116773, 'https://cdn.myanimelist.net/images/anime/1652/90326.jpg', 'Cardcaptor Sakura Movie 2: Fuuin Sareta Card'], [1382, 8.08, 10901, 'https://cdn.myanimelist.net/images/anime/1187/132740.jpg', 'Yuusha-Ou GaoGaiGar Final'], [227, 8.03, 829809, 'https://cdn.myanimelist.net/images/anime/7/77356.jpg', 'FLCL'], [1363, 8.03, 63382, 'https://cdn.myanimelist.net/images/anime/1196/94319.jpg', 'Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha']]","[[227, 8.03, 829809, 'https://cdn.myanimelist.net/images/anime/7/77356.jpg', 'FLCL'], [249, 7.86, 803460, 'https://cdn.myanimelist.net/images/anime/1589/95329.jpg', 'InuYasha'], [263, 8.77, 601186, 'https://cdn.myanimelist.net/images/anime/4/86334.jpg', 'Hajime no Ippo'], [481, 7.49, 400607, 'https://cdn.myanimelist.net/images/anime/3/77055.jpg', 'YuGiOh! Duel Monsters'], [189, 7.09, 268084, 'https://cdn.myanimelist.net/images/anime/1153/99366.jpg', 'Love Hina']]"
2001,"[[199, 8.77, 1868855, 'https://cdn.myanimelist.net/images/anime/6/79597.jpg', 'Sen to Chihiro no Kamikakushi'], [5, 8.38, 381361, 'https://cdn.myanimelist.net/images/anime/1439/93480.jpg', 'Cowboy Bebop: Tengoku no Tobira'], [1364, 8.11, 64557, 'https://cdn.myanimelist.net/images/anime/1144/92654.jpg', 'Meitantei Conan Movie 05: Tengoku e no Countdown'], [135, 8.07, 139857, 'https://cdn.myanimelist.net/images/anime/12/78317.jpg', 'Hikaru no Go'], [401, 7.96, 85145, 'https://cdn.myanimelist.net/images/anime/1971/90877.jpg', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen']]","[[199, 8.77, 1868855, 'https://cdn.myanimelist.net/images/anime/6/79597.jpg', 'Sen to Chihiro no Kamikakushi'], [270, 7.49, 731963, 'https://cdn.myanimelist.net/images/anime/10/19956.jpg', 'Hellsing'], [120, 7.69, 541978, 'https://cdn.myanimelist.net/images/anime/4/75204.jpg', 'Fruits Basket'], [5, 8.38, 381361, 'https://cdn.myanimelist.net/images/anime/1439/93480.jpg', 'Cowboy Bebop: Tengoku no Tobira'], [154, 7.74, 368163, 'https://cdn.myanimelist.net/images/anime/1722/99235.jpg', 'Shaman King']]"
2002,"[[467, 8.42, 399474, 'https://cdn.myanimelist.net/images/anime/11/50857.jpg', 'Koukaku Kidoutai: Stand Alone Complex'], [137, 8.31, 128016, 'https://cdn.myanimelist.net/images/anime/1/137.jpg', 'Hunter x Hunter: Original Video Animation'], [1365, 8.29, 78894, 'https://cdn.myanimelist.net/images/anime/1400/94320.jpg', 'Meitantei Conan Movie 06: Baker Street no Bourei'], [1033, 8.24, 189718, 'https://cdn.myanimelist.net/images/anime/1648/93626.jpg', 'Sennen Joyuu'], [721, 8.13, 170959, 'https://cdn.myanimelist.net/images/anime/1145/93646.jpg', 'Princess Tutu']]","[[20, 8, 2871903, 'https://cdn.myanimelist.net/images/anime/1141/142503.jpg', 'Naruto'], [71, 7.6, 500007, 'https://cdn.myanimelist.net/images/anime/2/75259.jpg', 'Full Metal Panic!'], [59, 7.4, 486665, 'https://cdn.myanimelist.net/images/anime/4/24648.jpg', 'Chobits'], [467, 8.42, 399474, 'https://cdn.myanimelist.net/images/anime/11/50857.jpg', 'Koukaku Kidoutai: Stand Alone Complex'], [66, 8.03, 368409, 'https://cdn.myanimelist.net/images/anime/1066/117358.jpg', 'Azumanga Daiou The Animation']]"
2003,"[[486, 8.28, 320567, 'https://cdn.myanimelist.net/images/anime/1763/95397.jpg', 'Kino no Tabi: The Beautiful World'], [759, 8.28, 296916, 'https://cdn.myanimelist.net/images/anime/1480/132791.jpg', 'Tokyo Godfathers'], [264, 8.26, 140203, 'https://cdn.myanimelist.net/images/anime/1521/137978.jpg', 'Hajime no Ippo: Champion Road'], [329, 8.25, 255998, 'https://cdn.myanimelist.net/images/anime/1209/142900.jpg', 'Planetes'], [265, 8.24, 112767, 'https://cdn.myanimelist.net/images/anime/4/64737.jpg', 'Hajime no Ippo: Mashiba vs. Kimura']]","[[121, 8.11, 1478010, 'https://cdn.myanimelist.net/images/anime/10/75815.jpg', 'Fullmetal Alchemist'], [202, 7.79, 330736, 'https://cdn.myanimelist.net/images/anime/5/59403.jpg', ""Wolf's Rain""], [486, 8.28, 320567, 'https://cdn.myanimelist.net/images/anime/1763/95397.jpg', 'Kino no Tabi: The Beautiful World'], [72, 8.02, 298315, 'https://cdn.myanimelist.net/images/anime/4/75260.jpg', 'Full Metal Panic? Fumoffu'], [759, 8.28, 296916, 'https://cdn.myanimelist.net/images/anime/1480/132791.jpg', 'Tokyo Godfathers']]"
2004,"[[19, 8.88, 1135471, 'https://cdn.myanimelist.net/images/anime/10/18793.jpg', 'Monster'], [431, 8.66, 1351303, 'https://cdn.myanimelist.net/images/anime/1470/138723.jpg', 'Howl no Ugoku Shiro'], [801, 8.52, 228712, 'https://cdn.myanimelist.net/images/anime/1646/135390.jpg', 'Koukaku Kidoutai: Stand Alone Complex 2nd GIG'], [205, 8.51, 1248306, 'https://cdn.myanimelist.net/images/anime/1370/135212.jpg', 'Samurai Champloo'], [57, 8.29, 344528, 'https://cdn.myanimelist.net/images/anime/11/11636.jpg', 'Beck']]","[[269, 7.94, 1982665, 'https://cdn.myanimelist.net/images/anime/3/40451.jpg', 'Bleach'], [226, 7.47, 1522077, 'https://cdn.myanimelist.net/images/anime/1780/121555.jpg', 'Elfen Lied'], [431, 8.66, 1351303, 'https://cdn.myanimelist.net/images/anime/1470/138723.jpg', 'Howl no Ugoku Shiro'], [205, 8.51, 1248306, 'https://cdn.myanimelist.net/images/anime/1370/135212.jpg', 'Samurai Champloo'], [19, 8.88, 1135471, 'https://cdn.myanimelist.net/images/anime/10/18793.jpg', 'Monster']]"
2005,"[[457, 8.66, 836424, 'https://cdn.myanimelist.net/images/anime/2/73862.jpg', 'Mushishi'], [2951, 8.08, 56897, 'https://cdn.myanimelist.net/images/anime/1897/139500.jpg', 'Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi'], [2449, 8.07, 41048, 'https://cdn.myanimelist.net/images/anime/1127/141116.jpg', 'Koukaku Kidoutai: Stand Alone Complex - The Laughing Man'], [237, 8.05, 437940, 'https://cdn.myanimelist.net/images/anime/12/34443.jpg', 'Koukyoushihen Eureka Seven'], [1974, 8.04, 40560, 'https://cdn.myanimelist.net/images/anime/7/75061.jpg', 'Glass no Kamen (2005)']]","[[457, 8.66, 836424, 'https://cdn.myanimelist.net/images/anime/2/73862.jpg', 'Mushishi'], [355, 7.44, 538966, 'https://cdn.myanimelist.net/images/anime/8/21197.jpg', 'Shakugan no Shana'], [237, 8.05, 437940, 'https://cdn.myanimelist.net/images/anime/12/34443.jpg', 'Koukyoushihen Eureka Seven'], [150, 7.61, 379193, 'https://cdn.myanimelist.net/images/anime/10/10183.jpg', 'Blood+'], [228, 7.61, 362920, 'https://cdn.myanimelist.net/images/anime/4/86907.jpg', 'Jigoku Shoujo']]"
2006,"[[918, 8.93, 1071439, 'https://cdn.myanimelist.net/images/anime/10/73274.jpg', 'Gintama'], [1575, 8.7, 2266608, 'https://cdn.myanimelist.net/images/anime/1032/135088.jpg', 'Code Geass: Hangyaku no Lelouch'], [1535, 8.62, 3929723, 'https://cdn.myanimelist.net/images/anime/1079/138100.jpg', 'Death Note'], [877, 8.55, 678399, 'https://cdn.myanimelist.net/images/anime/2/11232.jpg', 'Nana'], [777, 8.35, 937943, 'https://cdn.myanimelist.net/images/anime/6/7333.jpg', 'Hellsing Ultimate']]","[[1535, 8.62, 3929723, 'https://cdn.myanimelist.net/images/anime/1079/138100.jpg', 'Death Note'], [1575, 8.7, 2266608, 'https://cdn.myanimelist.net/images/anime/1032/135088.jpg', 'Code Geass: Hangyaku no Lelouch'], [853, 8.16, 1132415, 'https://cdn.myanimelist.net/images/anime/2/71992.jpg', 'Ouran Koukou Host Club'], [918, 8.93, 1071439, 'https://cdn.myanimelist.net/images/anime/10/73274.jpg', 'Gintama'], [889, 8.03, 1017214, 'https://cdn.myanimelist.net/images/anime/1906/121592.jpg', 'Black Lagoon']]"
2007,"[[2001, 8.63, 1622066, 'https://cdn.myanimelist.net/images/anime/4/5123.jpg', 'Tengen Toppa Gurren Lagann'], [2246, 8.42, 331599, 'https://cdn.myanimelist.net/images/anime/3/20713.jpg', 'Mononoke'], [2251, 8.36, 910116, 'https://cdn.myanimelist.net/images/anime/3/14547.jpg', 'Baccano!'], [1735, 8.27, 2503431, 'https://cdn.myanimelist.net/images/anime/1565/111305.jpg', 'Naruto: Shippuuden'], [2685, 8.27, 96353, 'https://cdn.myanimelist.net/images/anime/4/49129.jpg', 'Tsubasa: Tokyo Revelations']]","[[1735, 8.27, 2503431, 'https://cdn.myanimelist.net/images/anime/1565/111305.jpg', 'Naruto: Shippuuden'], [2001, 8.63, 1622066, 'https://cdn.myanimelist.net/images/anime/4/5123.jpg', 'Tengen Toppa Gurren Lagann'], [2167, 7.99, 1421080, 'https://cdn.myanimelist.net/images/anime/1804/95033.jpg', 'Clannad'], [2025, 8.05, 951355, 'https://cdn.myanimelist.net/images/anime/5/19570.jpg', 'Darker than Black: Kuro no Keiyakusha'], [1689, 7.56, 949579, 'https://cdn.myanimelist.net/images/anime/1410/112994.jpg', 'Byousoku 5 Centimeter']]"
2008,"[[4181, 8.93, 1200775, 'https://cdn.myanimelist.net/images/anime/1299/110774.jpg', 'Clannad: After Story'], [2904, 8.91, 1793864, 'https://cdn.myanimelist.net/images/anime/1088/135089.jpg', 'Code Geass: Hangyaku no Lelouch R2'], [4282, 8.52, 240283, 'https://cdn.myanimelist.net/images/anime/4/75851.jpg', 'Kara no Kyoukai Movie 5: Mujun Rasen'], [3297, 8.48, 130617, 'https://cdn.myanimelist.net/images/anime/1431/132867.jpg', 'Aria the Origination'], [6945, 8.35, 70762, 'https://cdn.myanimelist.net/images/anime/6/16161.jpg', 'Gintama: Shiroyasha Koutan']]","[[4224, 8.06, 2216955, 'https://cdn.myanimelist.net/images/anime/13/22128.jpg', 'Toradora!'], [2904, 8.91, 1793864, 'https://cdn.myanimelist.net/images/anime/1088/135089.jpg', 'Code Geass: Hangyaku no Lelouch R2'], [3588, 7.84, 1637171, 'https://cdn.myanimelist.net/images/anime/9/7804.jpg', 'Soul Eater'], [4181, 8.93, 1200775, 'https://cdn.myanimelist.net/images/anime/1299/110774.jpg', 'Clannad: After Story'], [4898, 7.66, 1192368, 'https://cdn.myanimelist.net/images/anime/1467/137783.jpg', 'Kuroshitsuji']]"
2009,"[[5114, 9.09, 3368959, 'https://cdn.myanimelist.net/images/anime/1208/94745.jpg', 'Fullmetal Alchemist: Brotherhood'], [5258, 8.67, 289978, 'https://cdn.myanimelist.net/images/anime/8/56617.jpg', 'Hajime no Ippo: New Challenger'], [4565, 8.58, 218876, 'https://cdn.myanimelist.net/images/anime/12/19698.jpg', 'Tengen Toppa Gurren Lagann Movie 2: Lagann-hen'], [5300, 8.54, 249797, 'https://cdn.myanimelist.net/images/anime/4/79738.jpg', 'Zoku Natsume Yuujinchou'], [5028, 8.4, 71588, 'https://cdn.myanimelist.net/images/anime/9/75218.jpg', 'Major S5']]","[[5114, 9.09, 3368959, 'https://cdn.myanimelist.net/images/anime/1208/94745.jpg', 'Fullmetal Alchemist: Brotherhood'], [6702, 7.57, 1747146, 'https://cdn.myanimelist.net/images/anime/5/18179.jpg', 'Fairy Tail'], [5081, 8.32, 1406701, 'https://cdn.myanimelist.net/images/anime/11/75274.jpg', 'Bakemonogatari'], [5680, 7.86, 1058797, 'https://cdn.myanimelist.net/images/anime/10/76120.jpg', 'K-On!'], [6045, 8.01, 958191, 'https://cdn.myanimelist.net/images/anime/1502/124384.jpg', 'Kimi ni Todoke']]"
